date,wm_yr_wk,weekday,wday,month,year,d,item_id,dept_id,cat_id,store_id,state_id,ventas,sell_price,event_name_1,event_type_1,event_name_2,event_type_2
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_090,FOODS_3,FOODS,CA_3,CA,57,1.5,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_120,FOODS_3,FOODS,CA_3,CA,109,4.98,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_202,FOODS_3,FOODS,CA_3,CA,17,4.58,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_252,FOODS_3,FOODS,CA_3,CA,29,1.58,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_288,FOODS_3,FOODS,CA_3,CA,25,1.5,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_329,FOODS_3,FOODS,CA_3,CA,17,2.98,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_555,FOODS_3,FOODS,CA_3,CA,36,1.68,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_586,FOODS_3,FOODS,CA_3,CA,60,1.68,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_587,FOODS_3,FOODS,CA_3,CA,33,2.48,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_714,FOODS_3,FOODS,CA_3,CA,28,1.58,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_090,FOODS_3,FOODS,CA_4,CA,18,1.5,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_120,FOODS_3,FOODS,CA_4,CA,6,4.98,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_202,FOODS_3,FOODS,CA_4,CA,7,4.58,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_252,FOODS_3,FOODS,CA_4,CA,3,1.58,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_288,FOODS_3,FOODS,CA_4,CA,4,1.5,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_329,FOODS_3,FOODS,CA_4,CA,2,2.98,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_555,FOODS_3,FOODS,CA_4,CA,2,1.68,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_586,FOODS_3,FOODS,CA_4,CA,4,1.68,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_587,FOODS_3,FOODS,CA_4,CA,21,2.48,,,,
2015-12-01,11544,Tuesday,4,12,2015,d_1768,FOODS_3_714,FOODS_3,FOODS,CA_4,CA,6,1.58,,,,
2015-12-02,11544,Wednesday,5,12,2015,d_1769,FOODS_3_090,FOODS_3,FOODS,CA_3,CA,96,1.5,,,,
2015-12-02,11544,Wednesday,5,12,2015,d_1769,FOODS_3_120,FOODS_3,FOODS,CA_3,CA,53,4.98,,,,
2015-12-02,11544,Wednesday,5,12,2015,d_1769,FOODS_3_202,FOODS_3,FOODS,CA_3,CA,10,4.58,,,,
2015-12-02,11544,Wednesday,5,12,2015,d_1769,FOODS_3_252,FOODS_3,FOODS,CA_3,CA,34,1.58,,,,
2015-12-02,11544,Wednesday,5,12,2015,d_1769,FOODS_3_288,FOODS_3,FOODS,CA_3,CA,49,1.5,,,,
2015-12-02,11544,Wednesday,5,12,2015,d_1769,FOODS_3_329,FOODS_3,FOODS,CA_3,CA,32,2.98,,,,
2015-12-02,11544,Wednesday,5,12,2015,d_1769,FOODS_3_555,FOODS_3,FOODS,CA_3,CA,29,1.68,,,,
2015-12-02,11544,Wednesday,5,12,2015,d_1769,FOODS_3_586,FOODS_3,FOODS,CA_3,CA,53,1.68,,,,
